722-50059,722,834038.674,816345.067,50059,833862.7,816441.553,HK,MAJOR ROUTE
724-722,724,834148.783,816250.647,722,834038.674,816345.067,HK,URBAN ROAD
752-875,752,835099.22,815634.373,875,834918.334,815759.379,HK,URBAN ROAD
756-752,756,835352.749,815640.774,752,835099.22,815634.373,HK,URBAN ROAD
760-756,760,835602.186,815600.695,756,835352.749,815640.774,HK,URBAN ROAD
762-50078,762,836029.641,815629.493,50078,836298.985,815671.02,HK,MAJOR ROUTE
781-50098,781,836585.353,815155.819,50098,836705.363,815357.127,HK,MAJOR ROUTE
786-7861,786,836793.573,815852.754,7861,836714.038,815819.064,HK,URBAN ROAD
787-788,787,836656.904,815755.248,788,836606.459,815875.71,HK,MAJOR ROUTE
787-7882,787,836656.904,815755.248,7882,836603.538,815878.324,HK,MAJOR ROUTE
787-50179,787,836656.904,815755.248,50179,836362.957,815673.882,HK,MAJOR ROUTE
788-868,788,836606.459,815875.71,868,836682.388,815883.302,HK,MAJOR ROUTE
789-7908,789,836748.301,815908.341,7908,836950.758,815938.449,HK,URBAN ROAD
793-877,793,837428.196,816174.589,877,837616.85,816570.66,HK,MAJOR ROUTE
793-7918,793,837434.612,816161.378,7918,837006.391,815940.388,HK,URBAN ROAD
811-818,811,838249.981,817134.408,818,838881.248,817243.884,HK,MAJOR ROUTE
818-821,818,838881.248,817243.884,821,839406.398,817161.385,HK,MAJOR ROUTE
821-50107,821,839406.398,817161.385,50107,839823.434,816928.645,HK,MAJOR ROUTE
868-870,868,836682.388,815883.302,870,836803.159,815997.652,HK,MAJOR ROUTE
870-4651,870,836803.159,815997.652,4651,836884.007,816087.665,HK,MAJOR ROUTE
875-3402,875,834918.334,815759.379,3402,834754.135,815848.947,HK,URBAN ROAD
877-46498,877,837616.85,816570.66,46498,837982.489,816997.558,HK,MAJOR ROUTE
877-793,877,837626.399,816561.52,793,837434.612,816161.378,HK,MAJOR ROUTE
893-4652,893,832738.968,816762.428,4652,833101.677,816778.101,HK,MAJOR ROUTE
896-724,896,834264.546,816083.739,724,834148.783,816250.647,HK,URBAN ROAD
910-931,910,840060.004,816792.715,931,840101.178,816617.612,HK,MAJOR ROUTE
930-931,930,840495.49,816655.752,931,839976.076,816575.425,HK,MAJOR ROUTE
930-9101,930,840495.49,816655.752,9101,840052.115,816777.46,HK,MAJOR ROUTE
931-4650,931,839976.076,816575.425,4650,839919.319,816768.747,HK,MAJOR ROUTE
3006-30069,3006,834913.16,818626.797,30069,834823.46,818955.081,K,URBAN ROAD
3010-888301,3010,835020.456,819072.594,888301,834711.437,818893.39,K,URBAN ROAD
3363-3369,3363,839521.209,820694.514,3369,839269.874,820683.627,K,URBAN ROAD
3368-88810,3368,839344.209,820099.964,88810,839314.866,820127.978,K,MAJOR ROUTE
3369-33691,3369,839269.874,820683.627,33691,839284.825,820586.955,K,URBAN ROAD
3369-3370,3369,839269.874,820683.627,3370,839125.949,820671.968,K,URBAN ROAD
3370-34211,3370,839125.949,820671.968,34211,838961.948,820481.832,K,URBAN ROAD
3393-88817,3393,838680.921,821720.124,88817,839074.865,821794.406,K,MAJOR ROUTE
3395-3393,3395,838185.484,821426.384,3393,838680.921,821720.124,K,MAJOR ROUTE
3402-8979,3402,834754.135,815848.947,8979,834575.127,815899.799,HK,URBAN ROAD
3417-3681,3417,837789.141,821018.42,3681,837968.472,821192.37,K,URBAN ROAD
3419-3417,3419,837531.387,820885.152,3417,837789.141,821018.42,K,URBAN ROAD
3450-34502,3450,837010.873,818912.021,34502,836989.173,818891.055,K,URBAN ROAD
3453-46312,3453,836694.153,818344.939,46312,836633.89,818130.091,K,MAJOR ROUTE
3457-3664,3457,836587.973,817767.834,3664,836446.718,817636.666,K,MAJOR ROUTE
3458-88819,3458,836100.641,817358.907,88819,835948.908,817311.201,K,URBAN ROAD
3459-3615,3459,835807.883,817301.615,3615,835632.686,817301.908,K,URBAN ROAD
3460-78201,3460,835579.522,817480.928,78201,835418.623,817893.881,K,URBAN ROAD
3470-3006,3470,834889.426,818187.326,3006,834913.16,818626.797,K,URBAN ROAD
3480-88818,3480,836458.317,818948.326,88818,836976.843,818412.791,K,URBAN ROAD
3480-888302,3480,836458.317,818948.326,888302,836661.066,818660.839,K,MAJOR ROUTE
3483-88825,3483,836440.024,819826.139,88825,836306.663,819564.477,K,MAJOR ROUTE
3484-4640,3484,836273.929,819369.685,4640,836269.025,819339.592,K,MAJOR ROUTE
3488-3489,3488,836967.085,820564.744,3489,837168.318,820663.995,K,URBAN ROAD
3489-88816,3489,837168.318,820663.995,88816,837353.75,820779.14,K,URBAN ROAD
3491-3010,3491,835320.029,818933.626,3010,835020.456,819072.594,K,URBAN ROAD
3498-3499,3498,835269.643,819039.869,3499,835203.267,819239.124,K,URBAN ROAD
3499-88822,3499,835203.267,819239.124,88822,835098.871,819181.09,K,URBAN ROAD
3500-3499,3500,835453.715,819296.604,3499,835203.267,819239.124,K,URBAN ROAD
3502-3500,3502,835629.414,819329.703,3500,835453.715,819296.604,K,URBAN ROAD
3503-3502,3503,835971.906,819718.872,3502,835629.414,819329.703,K,URBAN ROAD
3504-888231,3504,836128.396,819945.362,888231,836009.355,819775.102,K,URBAN ROAD
3505-3504,3505,836334.997,820230.44,3504,836128.396,819945.362,K,URBAN ROAD
3506-3483,3506,836482.181,819918.657,3483,836440.024,819826.139,K,MAJOR ROUTE
3615-3460,3615,835632.686,817301.908,3460,835579.522,817480.928,K,URBAN ROAD
3632-46322,3632,842224.694,818075.31,46322,842034.07,817933.434,K,MAJOR ROUTE
3633-3632,3633,842093.024,818642.008,3632,842224.694,818075.31,K,MAJOR ROUTE
3637-888151,3637,841500.294,818838.784,888151,842053.671,818696.967,K,MAJOR ROUTE
3639-88814,3639,840935.412,818601.61,88814,841123.667,818587.958,K,MAJOR ROUTE
3643-88813,3643,839537.601,819872.588,88813,839988.562,819731.898,K,MAJOR ROUTE
3644-3690,3644,839174.133,821171.9,3690,839111.955,820458.628,K,MAJOR ROUTE
3651-4632,3651,841880.892,817878.688,4632,842015.881,817960.926,HK,MAJOR ROUTE
3664-3458,3664,836446.718,817636.666,3458,836100.641,817358.907,K,URBAN ROAD
3681-3395,3681,837968.472,821192.37,3395,838185.484,821426.384,K,URBAN ROAD
3690-3643,3690,839111.955,820458.628,3643,839537.601,819872.588,K,MAJOR ROUTE
3692-46332,3692,834538.393,818512.558,46332,834395.219,818269.104,K,MAJOR ROUTE
3715-3457,3715,837030.317,817998.638,3457,836587.973,817767.834,K,MAJOR ROUTE
4640-4643,4640,836269.025,819339.592,4643,836380.592,819078.673,K,MAJOR ROUTE
